MONTH,отчетный месяц
CUID,уникальный код клиента
DAYS_COUNT,количество дней входа за отчетный месяц
DCARD,количество активных дебетных карт
CCARD,количество активных кредитных карт
POS,количество активных товарных кредитов
CASH,количество активных наличных кредитов
DEP_CONCTRACT,количество активных депозитов
TRANSFER,количество совершенных транзакций в мобильном приложении за отчетный месяц
PAYMENTS,количество совершенных платежей в мобильном приложении за отчетный месяц
CSS,количество запросов справок в мобильном приложении за отчетный месяц
LOANS,количество запросов на кредит в мобильном приложении за отчетный месяц
BANNER,количество кликов на баннер в основном меню в мобильном приложении за отчетный месяц
MENU,количество кликов на кнопку меню в мобильном приложении за отчетный месяц
LOAN_DETAIL,количество кликов на кнопку детализации по кредитам в мобильном приложении за отчетный месяц
LOAN_REQ_HISTORY,количество кликов на кнопку детализации по истории заявок на кредит в мобильном приложении за отчетный месяц
LOAN_REQ,количество кликов на кнопку запроса на кредит в мобильном приложении за отчетный месяц
CREDIT_CARD_DETAIL,количество кликов на кнопку детализации по кредитной карте в мобильном приложении за отчетный месяц
CREDIT_CARD_REQ_HIST,количество кликов на кнопку детализации по истории заявок на кредитную карту в мобильном приложении за отчетный месяц
CREDIT_CARD_REQUEST,количество кликов на кнопку запроса на кредитную карту в мобильном приложении за отчетный месяц
DEBIT_CARD_DETAIL,количество кликов на кнопку детализации по дебетной карте в мобильном приложении за отчетный месяц
DEBIT_CARD__REQ_HISTORY,количество кликов на кнопку детализации по истории заявок на дебетную карту в мобильном приложении за отчетный месяц
DEBIT_CARD_REQ,количество кликов на кнопку запроса на дебетную карту в мобильном приложении за отчетный месяц
DEPOSIT_DETAIL,количество кликов на кнопку детализации по депозиту в мобильном приложении за отчетный месяц
DEPOSIT_REQ_HISTORY,количество кликов на кнопку детализации по истории заявок на депозит в мобильном приложении за отчетный месяц
DEPOSIT_REQ,количество кликов на кнопку запроса на депозит в мобильном приложении за отчетный месяц
DEPOSIT_CERT_REQ_HIST,количество кликов на кнопку детализации по истории заявок на депозитный сертификат в мобильном приложении за отчетный месяц
ACCOUNT_DETAIL,количество кликов на кнопку детализации по текущему счету в мобильном приложении за отчетный месяц
ACCOUNT_HISTORY,количество кликов на кнопку детализации по истории заявок на текущий счет в мобильном приложении за отчетный месяц
ACCOUNT_REQ,количество кликов на кнопку запроса на текущий счет в мобильном приложении за отчетный месяц
TRANSFERS_MAIN,количество кликов на кнопку раздела переводов в мобильном приложении за отчетный месяц
TRANSFERS_HISTORY,количество кликов на кнопку раздела истории переводов в мобильном приложении за отчетный месяц
PAYMENTS_MAIN,количество кликов на кнопку раздела платежей в мобильном приложении за отчетный месяц
MY_PAYMENTS,количество кликов на кнопку раздела сохраненных платежей в мобильном приложении за отчетный месяц
PAYMENTS_HISTORY,количество кликов на кнопку раздела истории платежей в мобильном приложении за отчетный месяц
NAME_GENDER,пол
DATE_BIRTH,дата рождения
NAME_EDUCATION_TYPE,тип образования (если заполнено)
FIRST_AUTH_DATE_IN_APP,дата первого входа в мобильное приложение за все время
LAST_AUTH_DATE_IN_MONTH,дата последнего входа в мобильное приложение за отчетный месяц
FIRST_AUTH_DATE_IN_MONTH,дата первого входа в мобильное приложение за отчетный месяц